timestamp,symbol,headline,sentiment,source
2026-04-01T17:16:29.596116,MSFT,MSFT misses revenue forecast,-0.0635,mock
2026-04-01T17:16:49.610837,MSFT,MSFT announces strong guidance,0.8609,mock
2026-04-01T17:17:09.593242,MSFT,MSFT reports supply chain issues,-0.0928,mock
2026-04-01T17:17:29.603658,MSFT,MSFT misses revenue forecast,-0.9333,mock
2026-06-04T06:48:29.038818,AAPL,AAPL launches high-demand product,0.5659,mock
2026-06-04T06:48:49.057199,MSFT,MSFT cuts forward guidance,-0.038,mock
2026-06-04T06:49:09.037580,MSFT,MSFT reports supply chain issues,-0.1429,mock
2026-06-04T06:49:29.061024,GOOGL,GOOGL launches high-demand product,0.8764,mock
2026-06-04T06:49:49.056848,GOOGL,GOOGL faces regulatory pressure,-0.0091,mock
2026-06-04T06:50:09.057411,AAPL,AAPL announces strong guidance,0.6042,mock
2026-06-04T06:52:42.485072,AAPL,AAPL expands strategic partnership,0.8452,mock
2026-06-04T06:53:02.458041,GOOGL,GOOGL launches high-demand product,0.8357,mock
2026-06-04T06:53:22.463665,GOOGL,GOOGL faces regulatory pressure,-0.3623,mock
2026-06-04T06:53:42.471770,MSFT,MSFT cuts forward guidance,-0.6518,mock
2026-06-04T06:54:02.488924,MSFT,MSFT cuts forward guidance,-0.4721,mock
2026-06-04T06:54:22.512603,AAPL,AAPL reports supply chain issues,-0.7286,mock
2026-06-04T06:54:42.492656,MSFT,MSFT cuts forward guidance,-0.1419,mock
2026-06-04T06:55:00.339249,GOOGL,GOOGL announces strong guidance,0.711,mock
2026-06-04T06:55:02.511027,AAPL,AAPL faces regulatory pressure,-0.1432,mock
2026-06-04T06:55:20.341586,MSFT,MSFT beats earnings estimates,0.6251,mock
2026-06-04T06:55:22.520391,MSFT,MSFT reports supply chain issues,-0.5954,mock
2026-06-04T06:55:40.360276,MSFT,MSFT reports supply chain issues,-0.1617,mock
2026-06-04T06:55:42.520239,AAPL,AAPL cuts forward guidance,-0.4121,mock
2026-06-04T06:56:00.373654,MSFT,MSFT beats earnings estimates,0.0891,mock
2026-06-04T06:56:02.541752,MSFT,MSFT misses revenue forecast,-0.0292,mock
2026-06-04T06:56:20.378765,AAPL,AAPL expands strategic partnership,0.4985,mock
